"","state","year","population","cluster","percent","median.income","homicide","rape","robbery","aggravated_assault","burglary","larceny","vehicle_theft"
"1308","OR",1996,3204000,3,11.92,56744,4,40,122,297,988,4014,531
"1309","OR",1997,3243000,2,11.78,58290,3,40,118,284,1033,4198,595
"1310","OR",1998,3282000,2,15.33,60321,4,40,105,271,928,3773,526
"1311","OR",1999,3316154,2,13.03,61410,3,37,86,249,807,3409,411
"1312","OR",2000,3421399,9,10.84,62144,2,38,84,227,749,3339,407
"1313","OR",2001,3473441,2,11.75,58680,2,34,79,191,767,3542,427
"1314","OR",2002,3520355,2,10.79,58510,2,35,78,177,730,3378,469
"1315","OR",2003,3564330,3,12.51,56986,2,34,80,179,801,3432,532
"1316","OR",2004,3591363,3,11.72,54629,3,36,77,184,837,3282,516
"1317","OR",2005,3638871,3,11.98,56919,2,35,68,182,759,3114,529
"1318","OR",2006,3700758,2,11.86,58792,2,33,73,176,657,2672,396
"1319","OR",2007,3747455,2,12.84,60989,2,34,76,181,613,2539,391
"1320","OR",2008,3790060,2,10.63,60476,2,31,70,158,557,2445,300
"1321","OR",2009,3825657,2,13.33,57603,2,31,65,162,516,2224,261
"1322","OR",2010,3838332,2,13.99,58404,3,32,63,154,522,2279,238
"1323","OR",2011,3868229,2,14.3,57653,2,32,58,157,535,2380,235
"1324","OR",2012,3899801,3,13.41,56730,2,30,62,153,565,2413,263
"1325","OR",2013,3928068,5,15.1,52905,2,37,61,142,530,2402,252
"1326","OR",2014,3971202,9,14.35,62509,2,41,57,159,471,2371,241
"1327","OR",2015,4024634,9,11.88,64478,3,41,54,168,461,2249,266
"1328","OR",2016,4085989,9,11.89,61879,3,44,56,166,414,2240,325
"1329","OR",2017,4146592,9,10.37,66185,3,48,60,170,420,2124,410
"1330","OR",2018,4190713,8,9.64,69165,2,47,61,176,389,2110,395
"1331","PA",1984,11901000,7,15.33,46966,5,23,148,144,744,1655,340
"1332","PA",1985,11853000,5,10.27,51056,5,24,147,155,738,1641,328
"1333","PA",1986,11889000,5,10.01,52217,6,25,152,176,735,1654,354
"1334","PA",1987,11936000,3,10.46,53909,5,26,144,193,722,1723,349
"1335","PA",1988,12027000,3,10.36,54727,5,25,138,194,697,1691,427
"1336","PA",1989,12040000,3,10.47,56254,6,25,150,198,714,1799,469
"1337","PA",1990,11881643,3,11.18,54199,7,26,176,222,729,1811,506
"1338","PA",1991,11961000,3,11.2,54752,6,29,194,221,720,1907,482
"1339","PA",1992,12009000,5,11.87,52571,6,28,181,212,631,1867,468
"1340","PA",1993,12048000,3,13.26,53188,7,27,179,205,582,1832,440
"1341","PA",1994,12052000,3,12.41,53900,6,26,187,208,552,1844,449
"1342","PA",1995,12072000,3,12.13,56667,6,25,189,206,562,1963,413
"1343","PA",1996,12056000,3,11.4,55796,6,25,189,260,592,2080,404
"1344","PA",1997,12020000,2,11.12,58713,6,27,156,253,568,2054,368
"1345","PA",1998,12001000,2,11.15,60241,5,27,165,224,531,1965,356
"1346","PA",1999,11994016,3,9.31,57085,5,27,156,233,467,1899,327
"1347","PA",2000,12281054,9,8.41,61671,5,26,148,241,440,1839,296
"1348","PA",2001,12303104,9,9.41,61845,5,28,142,234,442,1815,290
"1349","PA",2002,12328827,2,9.34,59484,5,30,139,228,451,1723,266
"1350","PA",2003,12370761,2,10.34,58759,5,29,145,218,436,1724,270
"1351","PA",2004,12394471,2,11.16,58776,5,29,149,229,439,1728,250
"1352","PA",2005,12405348,2,11.06,59678,6,29,155,235,452,1732,237
"1353","PA",2006,12440621,2,11.23,60523,6,29,170,238,464,1745,239
"1354","PA",2007,12432792,2,10.24,58805,6,28,156,227,451,1699,213
"1355","PA",2008,12448279,2,10.72,60096,6,28,152,225,471,1760,181
"1356","PA",2009,12604767,3,10.92,56517,5,29,139,209,435,1623,141
"1357","PA",2010,12717722,3,12.07,55763,5,27,129,205,434,1608,132
"1358","PA",2011,12743948,3,12.59,55845,5,26,127,204,455,1637,132
"1359","PA",2012,12764475,3,13.76,56871,6,26,123,200,447,1601,118
"1360","PA",2013,12781296,2,12.33,59552,5,30,115,185,407,1545,108
"1361","PA",2014,12793767,2,12.36,58579,5,30,106,174,357,1471,102
"1362","PA",2015,12791904,9,12.05,64006,5,34,101,175,309,1409,95
"1363","PA",2016,12787085,9,10.92,63809,5,35,96,179,275,1362,102
"1364","PA",2017,12790447,9,11.03,64713,6,33,92,182,250,1293,101
"1365","PA",2018,12807060,9,11.52,64524,6,35,77,188,212,1176,102
"1366","RI",1984,962000,5,12.58,49888,3,21,113,197,1185,2563,692
"1367","RI",1985,968000,3,8.68,54957,4,26,116,201,1232,2492,653
"1368","RI",1986,975000,2,8.92,58212,3,21,119,192,1294,2568,705
"1369","RI",1987,986000,2,8.01,59991,4,24,108,224,1441,2701,784
"1370","RI",1988,995000,2,9.95,61071,4,30,115,247,1261,2718,828
"1371","RI",1989,998000,2,6.41,59066,5,27,112,234,1207,2716,924
"1372","RI",1990,1003464,2,7.08,59736,5,25,122,280,1271,2695,954
"1373","RI",1991,1004000,3,9.86,55598,4,31,123,304,1127,2656,794
"1374","RI",1992,1005000,3,11.84,53538,4,31,95,265,1048,2393,743
"1375","RI",1993,1000000,2,10.8,57502,4,29,101,268,1041,2410,646
"1376","RI",1994,997000,3,9.93,53668,4,27,87,257,913,2311,520
"1377","RI",1995,990000,2,10.3,58037,3,27,92,245,933,2503,441
"1378","RI",1996,990000,2,10.51,59133,3,29,83,232,822,2360,464
"1379","RI",1997,987000,3,12.16,54456,3,37,72,223,718,2178,425
"1380","RI",1998,988000,9,11.34,62821,2,36,67,207,653,2165,388
"1381","RI",1999,990819,9,10.4,64585,4,39,80,164,640,2249,407
"1382","RI",2000,1048319,9,10.11,61702,4,39,88,166,631,2102,445
"1383","RI",2001,1059659,9,9.44,65007,4,39,93,173,644,2253,476
"1384","RI",2002,1068326,2,10.86,59371,4,37,86,159,600,2251,456
"1385","RI",2003,1076084,2,11.24,61192,2,47,77,159,513,2074,408
"1386","RI",2004,1079916,9,11.3,63879,2,30,68,148,506,2002,378
"1387","RI",2005,1073579,9,11.83,63782,3,30,72,147,495,1823,410
"1388","RI",2006,1067610,8,10.3,67088,3,27,69,132,511,1766,338
"1389","RI",2007,1057832,9,9.36,65814,2,24,72,131,492,1813,302
"1390","RI",2008,1050788,9,12.56,62246,3,27,84,139,549,1991,305
"1391","RI",2009,1053209,2,12.72,60578,3,28,75,149,546,1842,228
"1392","RI",2010,1052528,2,13.87,59582,3,28,74,152,582,1751,228
"1393","RI",2011,1050646,3,13.23,54864,2,30,71,143,651,1786,226
"1394","RI",2012,1050304,2,13.42,61431,2,28,68,154,565,1759,251
"1395","RI",2013,1053354,2,13.48,60812,3,43,65,147,534,1698,213
"1396","RI",2014,1054907,9,11.28,62252,2,35,50,133,458,1547,174
"1397","RI",2015,1055607,2,11.65,59038,3,44,52,144,373,1394,131
"1398","RI",2016,1057566,9,11.25,64383,3,42,51,143,345,1339,104
"1399","RI",2017,1056486,8,12.02,68008,2,43,45,144,305,1314,141
"1400","RI",2018,1057315,9,8.7,62266,2,45,43,129,266,1250,145
"1401","SC",1984,3300000,7,17,46881,9,40,103,472,1232,2568,239
"1402","SC",1985,3347000,7,14.61,44715,9,41,94,487,1254,2697,259
"1403","SC",1986,3378000,7,16.84,48184,9,41,99,525,1340,2846,277
"1404","SC",1987,3425000,3,14.95,53114,9,44,101,511,1358,2858,281
"1405","SC",1988,3493000,5,15.12,52253,9,43,125,564,1416,2950,305
"1406","SC",1989,3512000,7,16.66,46662,9,46,130,628,1393,3071,342
"1407","SC",1990,3486703,3,15.72,53695,11,54,152,759,1380,3302,386
"1408","SC",1991,3560000,5,16.35,49516,11,59,171,731,1455,3365,387
"1409","SC",1992,3603000,7,19.34,48517,10,58,171,706,1379,3225,345
"1410","SC",1993,3643000,7,18.61,44707,10,52,187,773,1309,3227,344
"1411","SC",1994,3664000,5,13.67,50168,10,54,186,780,1274,3337,360
"1412","SC",1995,3673000,7,20.26,47716,8,47,176,751,1255,3442,385
"1413","SC",1996,3699000,3,13.03,55422,9,49,172,767,1284,3505,429
"1414","SC",1997,3760000,3,13.3,53619,8,49,176,757,1232,3493,419
"1415","SC",1998,3836000,5,13.74,51366,8,46,155,695,1163,3295,416
"1416","SC",1999,3885736,3,11.45,55125,7,41,148,651,1020,3086,372
"1417","SC",2000,4012012,3,10.99,54936,7,41,155,624,1005,3125,389
"1418","SC",2001,4062125,3,14.84,53652,8,44,147,616,1049,3120,411
"1419","SC",2002,4103770,5,13.84,52925,7,48,141,627,1066,3002,411
"1420","SC",2003,4148744,5,12.44,52663,7,47,140,612,1060,3081,381
"1421","SC",2004,4197892,5,14.65,51560,7,42,130,611,1042,3120,375
"1422","SC",2005,4246933,5,14.74,51854,7,44,133,583,1006,2978,386
"1423","SC",2006,4321249,5,10.97,49461,8,42,137,584,994,2894,386
"1424","SC",2007,4407709,3,14,53677,8,40,144,593,1030,2877,388
"1425","SC",2008,4479800,5,13.93,49285,7,38,147,539,1026,2820,394
"1426","SC",2009,4561242,7,13.55,48221,7,36,126,506,996,2614,299
"1427","SC",2010,4637106,7,16.67,48127,6,33,108,455,998,2621,287
"1428","SC",2011,4673348,7,18.7,44850,7,36,99,455,1013,2616,292
"1429","SC",2012,4723417,7,16.49,48650,7,36,96,422,957,2590,286
"1430","SC",2013,4771929,7,15.61,47035,6,47,83,372,858,2509,264
"1431","SC",2014,4829160,7,16.32,47702,7,45,83,363,770,2447,267
"1432","SC",2015,4894834,5,13.95,49137,8,50,81,361,714,2345,268
"1433","SC",2016,4959822,3,13.91,56858,7,50,82,367,668,2308,281
"1434","SC",2017,5021219,3,15.39,56311,8,51,77,370,621,2289,284
"1435","SC",2018,5084127,2,12.63,57444,8,48,70,363,580,2156,282
"1436","SD",1984,706000,7,14.16,44803,2,27,15,104,500,1856,109
"1437","SD",1985,708000,1,16.81,40488,2,24,17,94,546,1856,102
"1438","SD",1986,708000,1,16.67,43643,4,18,16,87,554,1939,99
"1439","SD",1987,709000,7,15.37,44849,2,21,12,85,534,1928,96
"1440","SD",1988,715000,7,14.13,45624,3,27,12,72,518,1854,96
"1441","SD",1989,715000,7,12.87,47270,1,32,12,90,475,1966,109
"1442","SD",1990,696004,7,13.36,45914,2,34,12,114,527,2109,110
"1443","SD",1991,703000,7,13.66,44425,2,40,19,122,590,2192,115
"1444","SD",1992,711000,7,14.91,46197,1,52,17,125,541,2162,101
"1445","SD",1993,715000,7,14.27,47597,3,44,15,146,549,2086,115
"1446","SD",1994,721000,5,14.84,49978,1,42,19,165,546,2207,121
"1447","SD",1995,729000,7,14.13,48548,2,41,26,139,541,2191,121
"1448","SD",1996,732000,7,11.2,47206,1,41,19,116,557,2122,114
"1449","SD",1997,738000,7,15.85,46470,1,48,23,124,554,2377,116
"1450","SD",1998,738000,5,10.43,50623,1,35,20,98,469,1898,103
"1451","SD",1999,733133,3,7.5,54167,2,46,14,105,444,1915,117
"1452","SD",2000,754844,3,10.47,53335,1,40,17,108,384,1664,106
"1453","SD",2001,758324,3,8.18,56403,1,46,14,94,407,1658,108
"1454","SD",2002,760437,3,11.18,53011,1,47,15,113,399,1596,108
"1455","SD",2003,764905,3,12.42,54090,1,47,14,112,376,1513,114
"1456","SD",2004,770621,3,13.24,54780,2,44,15,111,409,1413,110
"1457","SD",2005,774883,3,11.61,55620,2,49,19,109,323,1336,108
"1458","SD",2006,781919,3,10.49,56715,4,59,20,181,387,1273,107
"1459","SD",2007,796214,3,9.29,56354,4,54,15,169,332,1306,99
"1460","SD",2008,804194,2,12.93,60328,5,70,17,186,334,1277,114
"1461","SD",2009,812383,3,13.91,53764,4,62,14,139,323,1341,107
"1462","SD",2010,816598,5,13.35,52344,3,47,19,200,391,1371,98
"1463","SD",2011,823593,5,14.21,52838,2,61,20,172,355,1387,115
"1464","SD",2012,834047,3,12.71,54144,3,72,19,230,393,1555,129
"1465","SD",2013,845510,2,10.05,57670,2,60,18,243,400,1414,111
"1466","SD",2014,853304,3,12.77,56328,3,56,23,246,330,1431,118
"1467","SD",2015,857919,2,13.75,58364,4,58,25,298,346,1466,139
"1468","SD",2016,861542,2,14.39,60116,3,61,32,326,348,1475,174
"1469","SD",2017,873286,2,10.42,58281,3,66,30,331,325,1407,168
"1470","SD",2018,882235,2,10.2,59463,1,70,30,304,291,1265,173
"1471","TN",1984,4717000,1,16.96,38739,8,40,167,230,1124,1954,366
"1472","TN",1985,4762000,1,17.58,39676,9,43,181,242,1167,2040,485
"1473","TN",1986,4803000,1,17.76,40042,10,47,208,274,1325,2126,544
"1474","TN",1987,4855000,7,16.31,44908,9,44,194,287,1352,2213,567
"1475","TN",1988,4919000,1,17.95,42682,9,45,174,305,1238,2156,543
"1476","TN",1989,4940000,7,18.04,44335,8,46,160,334,1207,2225,533
"1477","TN",1990,4877185,1,17.08,42216,10,50,191,419,1264,2545,572
"1478","TN",1991,4953000,7,15.02,44089,11,46,213,456,1365,2662,614
"1479","TN",1992,5024000,1,17.08,42782,10,47,218,470,1267,2546,576
"1480","TN",1993,5099000,1,19.57,43075,10,50,220,486,1183,2700,591
"1481","TN",1994,5175000,7,15.05,48140,9,49,207,482,1142,2670,560
"1482","TN",1995,5256000,7,16.1,47624,11,47,223,491,1143,2800,649
"1483","TN",1996,5320000,5,16.5,49227,9,47,224,494,1163,2865,647
"1484","TN",1997,5368000,7,14.74,47944,10,57,214,509,1172,2922,629
"1485","TN",1998,5431000,5,13.79,52638,8,46,178,483,1076,2726,517
"1486","TN",1999,5483535,3,12.07,55216,7,44,157,487,937,2602,461
"1487","TN",2000,5689283,5,13.34,49856,7,38,166,495,990,2709,484
"1488","TN",2001,5749398,5,13.95,50875,7,38,178,521,1038,2870,492
"1489","TN",2002,5789796,5,14.49,51831,7,40,163,508,1058,2791,458
"1490","TN",2003,5845208,5,14.18,51355,7,36,161,487,1083,2853,453
"1491","TN",2004,5893298,5,15.81,50735,6,39,150,502,1025,2882,420
"1492","TN",2005,5955745,5,14.64,50792,7,37,168,545,1033,2844,424
"1493","TN",2006,6038803,5,14.56,50804,7,36,185,535,1044,2719,375
"1494","TN",2007,6156719,5,14.72,50013,7,36,179,533,1004,2742,353
"1495","TN",2008,6214888,7,14.87,46417,7,33,174,509,1047,2684,309
"1496","TN",2009,6296254,7,16.37,47535,7,32,153,473,1014,2514,239
"1497","TN",2010,6357436,7,16.55,44541,6,34,132,441,1011,2418,233
"1498","TN",2011,6399787,7,16.09,47306,6,33,126,443,982,2405,221
"1499","TN",2012,6454914,7,18.5,47110,6,32,126,474,871,2304,201
"1500","TN",2013,6497269,7,18.01,46817,5,38,113,429,790,2223,183
"1501","TN",2014,6547779,7,17.14,46415,6,40,111,454,715,2160,192
"1502","TN",2015,6595056,5,14.75,50165,6,42,114,456,663,2112,198
"1503","TN",2016,6649404,3,14.86,53727,7,42,118,471,611,2036,229
"1504","TN",2017,6708794,3,11.46,56587,8,45,117,485,579,2096,277
"1505","TN",2018,6770010,3,11.82,56060,7,42,106,468,489,2034,302
"1506","TX",1984,15989000,3,15.31,53148,13,46,178,267,1664,3312,549
"1507","TX",1985,16370000,3,15.77,52988,13,51,194,292,1770,3640,608
"1508","TX",1986,16682000,3,16.93,52996,14,52,240,354,2049,3987,714
"1509","TX",1987,16789000,5,17.37,52419,12,48,227,345,2118,4238,735
"1510","TX",1988,16780000,5,17.91,51086,12,48,234,358,2157,4408,800
"1511","TX",1989,16991000,5,16.95,50756,12,47,223,377,2015,4365,889
"1512","TX",1990,16986510,5,15.8,52747,14,52,261,435,1852,4305,909
"1513","TX",1991,17349000,5,17.09,50003,15,53,286,485,1802,4232,944
"1514","TX",1992,17656000,5,18.59,49177,13,53,253,488,1523,3907,822
"1515","TX",1993,18031000,5,17.62,49296,12,55,224,471,1297,3687,692
"1516","TX",1994,18378000,5,19.6,51696,11,50,205,441,1168,3395,603
"1517","TX",1995,18724000,5,17.46,52588,9,46,180,429,1082,3378,560
"1518","TX",1996,19128000,5,16.62,52875,8,44,171,421,1069,3447,549
"1519","TX",1997,19439000,3,16.96,54891,7,41,157,397,1034,3320,523
"1520","TX",1998,19760000,3,15.15,55251,7,40,145,373,986,3072,489
"1521","TX",1999,20044141,2,15.33,58491,6,38,147,370,950,3063,459
"1522","TX",2000,20851820,3,15.37,56456,6,38,145,356,906,3057,447
"1523","TX",2001,21370983,2,14.64,58093,6,38,165,362,956,3133,480
"1524","TX",2002,21736925,3,15.47,56196,6,39,173,362,978,3170,472
"1525","TX",2003,22103374,3,16.76,53747,6,36,167,343,995,3161,444
"1526","TX",2004,22471549,3,16.33,55166,6,37,159,338,980,3100,419
"1527","TX",2005,22928508,3,16.05,53391,6,37,156,329,959,2953,408
"1528","TX",2006,23507783,3,16.23,54068,6,36,158,317,918,2760,406
"1529","TX",2007,23904380,3,16.33,55911,6,35,162,307,955,2774,393
"1530","TX",2008,24326974,3,15.76,54353,6,33,155,314,946,2690,351
"1531","TX",2009,24782302,3,17.2,55699,5,34,153,299,969,2738,309
"1532","TX",2010,25253466,3,18.35,54554,5,30,130,283,905,2592,269
"1533","TX",2011,25631778,3,17.39,54879,4,29,112,263,842,2392,249
"1534","TX",2012,26060796,3,17.05,56896,4,30,117,258,787,2327,250
"1535","TX",2013,26505637,3,16.69,55503,4,39,120,247,721,2284,248
"1536","TX",2014,26979078,2,16.18,57201,4,43,115,244,623,2139,254
"1537","TX",2015,27429639,2,14.71,59856,5,45,116,247,558,2037,246
"1538","TX",2016,27904862,2,13.66,60844,5,48,119,261,533,1979,247
"1539","TX",2017,28322717,2,13.3,60740,5,51,113,268,471,1842,240
"1540","TX",2018,28701845,2,13.57,59785,5,51,98,257,411,1713,243
"1541","UT",1984,1652000,3,11.08,53224,3,20,58,163,858,3437,227
"1542","UT",1985,1645000,3,10.94,56325,3,23,55,186,943,3870,237
"1543","UT",1986,1665000,2,12.55,57644,3,25,59,180,915,4074,223
"1544","UT",1987,1680000,3,10.3,56252,3,22,53,152,951,4228,210
"1545","UT",1988,1691000,3,9.58,53849,3,24,54,163,881,4239,216
"1546","UT",1989,1707000,2,8.08,60229,3,29,53,175,897,4289,238
"1547","UT",1990,1722850,3,8.3,56324,3,38,57,186,881,4258,238
"1548","UT",1991,1770000,5,12.54,50513,3,46,55,183,840,4240,241
"1549","UT",1992,1813000,2,9.49,60257,3,45,56,186,885,4245,238
"1550","UT",1993,1860000,2,10.91,61409,3,45,59,195,791,3903,242
"1551","UT",1994,1908000,2,8.07,60035,3,42,64,196,791,3907,298
"1552","UT",1995,1951000,2,8.61,59877,4,43,67,215,801,4572,389
"1553","UT",1996,2000000,2,7.65,59216,3,42,69,218,848,4377,429
"1554","UT",1997,2059000,8,8.98,66941,2,47,68,216,890,4327,444
"1555","UT",1998,2100000,8,9.05,68400,3,42,66,204,813,4012,352
"1556","UT",1999,2129836,8,5.92,69621,2,38,54,181,685,3670,347
"1557","UT",2000,2233169,8,7.61,69529,2,39,56,160,642,3289,289
"1558","UT",2001,2278712,8,10.44,67309,3,39,53,138,606,3102,286
"1559","UT",2002,2318789,8,9.83,66991,2,41,49,145,652,3226,333
"1560","UT",2003,2352119,8,9.06,67439,3,39,53,155,721,3202,332
"1561","UT",2004,2420708,8,9.96,67791,2,40,51,140,629,3094,316
"1562","UT",2005,2490334,8,9.32,70651,2,37,44,142,601,2894,341
"1563","UT",2006,2550063,8,9.22,68202,2,35,49,141,577,2607,328
"1564","UT",2007,2645330,9,9.64,64987,2,35,54,148,589,2592,337
"1565","UT",2008,2736424,6,7.64,73115,1,33,52,138,540,2569,267
"1566","UT",2009,2784572,8,9.7,68623,1,34,47,133,548,2498,249
"1567","UT",2010,2775479,9,10.02,65443,2,35,46,130,544,2423,215
"1568","UT",2011,2814347,9,10.98,62092,2,32,38,125,468,2300,220
"1569","UT",2012,2854871,9,10.93,63924,2,34,39,133,459,2352,211
"1570","UT",2013,2902787,9,8.23,65913,2,52,43,132,473,2312,258
"1571","UT",2014,2944498,8,10.12,67296,2,53,45,120,396,2258,248
"1572","UT",2015,2990632,8,9.33,70227,2,57,44,135,422,2289,292
"1573","UT",2016,3044321,8,8.67,70613,2,51,50,139,425,2242,308
"1574","UT",2017,3103118,6,8.67,73058,2,57,48,135,380,2093,305
"1575","UT",2018,3161105,4,6.93,77067,2,55,39,137,315,1818,245
"1576","VA",1984,5636000,2,9.83,61229,8,27,102,159,842,2463,183
"1577","VA",1985,5706000,9,9.78,63446,7,27,100,160,785,2503,197
"1578","VA",1986,5787000,9,9.45,65176,7,26,106,167,813,2522,220
"1579","VA",1987,5904000,9,9.87,63604,7,26,106,156,807,2603,254
"1580","VA",1988,5996000,8,10.79,66814,8,27,113,152,818,2758,302
"1581","VA",1989,6098000,8,11,66897,8,27,106,171,757,2831,311
"1582","VA",1990,6187358,9,11.39,65538,9,31,123,188,731,3031,328
"1583","VA",1991,6286000,9,9.67,65156,9,30,138,196,783,3113,339
"1584","VA",1992,6377000,8,9.28,67201,9,31,138,197,709,2909,306
"1585","VA",1993,6491000,9,9.66,62519,8,32,142,190,668,2790,286
"1586","VA",1994,6552000,9,10.84,63281,9,29,133,188,639,2772,279
"1587","VA",1995,6618000,2,9.79,59454,8,27,132,195,595,2740,293
"1588","VA",1996,6675000,9,11.91,62690,7,27,123,185,588,2760,279
"1589","VA",1997,6734000,8,12.74,67226,7,27,125,186,571,2679,281
"1590","VA",1998,6791000,8,8.67,66941,6,27,106,187,561,2503,270
"1591","VA",1999,6872912,8,7.81,69081,6,25,101,183,472,2326,261
"1592","VA",2000,7078515,8,8.15,68964,6,23,89,164,430,2065,252
"1593","VA",2001,7196750,6,7.84,71431,5,25,95,166,439,2182,262
"1594","VA",2002,7287829,8,9.63,69468,5,25,96,166,436,2162,254
"1595","VA",2003,7365284,6,10.05,74977,6,25,91,157,395,2082,244
"1596","VA",2004,7481332,8,9.26,68151,5,24,92,154,384,2061,233
"1597","VA",2005,7564327,8,9.04,66915,6,23,99,155,394,2044,211
"1598","VA",2006,7642884,8,8.52,71312,5,24,102,153,421,1875,194
"1599","VA",2007,7712091,6,8.61,71824,5,23,100,144,415,1888,183
"1600","VA",2008,7769089,6,10.28,72469,5,23,96,134,414,1946,172
"1601","VA",2009,7882590,8,10.54,70981,5,20,80,126,405,1908,148
"1602","VA",2010,8023953,8,10.41,69675,5,20,71,119,384,1819,132
"1603","VA",2011,8104384,8,11.19,70062,4,20,67,107,378,1758,121
"1604","VA",2012,8186628,8,10.38,70818,4,18,58,112,362,1706,112
"1605","VA",2013,8270345,8,10.33,71160,4,28,55,110,323,1647,104
"1606","VA",2014,8328098,8,10.11,70239,4,29,52,114,279,1573,92
"1607","VA",2015,8367587,9,10.68,65169,5,30,53,112,257,1530,98
"1608","VA",2016,8414380,8,11.04,69535,6,34,57,123,240,1513,117
"1609","VA",2017,8465207,6,10.01,73031,6,36,51,118,219,1463,120
"1610","VA",2018,8517685,4,9.64,77151,5,34,42,119,183,1356,127
"1611","VT",1984,530000,5,12.26,52118,2,20,23,100,1016,2652,155
"1612","VT",1985,535000,2,8.97,58025,3,19,21,104,974,2603,164
"1613","VT",1986,541000,3,10.72,53954,2,22,22,103,949,2697,181
"1614","VT",1987,548000,3,9.12,53890,3,22,17,95,1110,2826,199
"1615","VT",1988,556000,2,7.73,59324,2,23,16,101,1097,2804,197
"1616","VT",1989,567000,2,7.76,61362,2,23,18,90,1029,2728,199
"1617","VT",1990,562758,2,10.84,58110,2,26,12,87,1087,2918,208
"1618","VT",1991,567000,5,12.87,52567,2,31,12,72,1020,2674,144
"1619","VT",1992,570000,2,10.7,57625,2,25,9,74,826,2370,105
"1620","VT",1993,576000,3,10.24,53308,4,40,9,62,874,2851,133
"1621","VT",1994,580000,2,7.76,60180,1,28,12,56,737,2268,149
"1622","VT",1995,585000,3,10.43,55518,2,28,11,77,761,2419,136
"1623","VT",1996,589000,5,12.56,51734,2,27,15,77,673,2058,150
"1624","VT",1997,589000,3,9.17,54857,2,26,13,78,613,1960,136
"1625","VT",1998,591000,2,9.81,60792,2,28,9,67,671,2214,148
"1626","VT",1999,593740,9,9.77,62869,3,23,11,77,596,1955,154
"1627","VT",2000,608827,2,9.86,57896,1,23,19,70,575,2165,133
"1628","VT",2001,612978,2,9.63,57999,1,17,17,69,514,2027,124
"1629","VT",2002,616408,2,9.9,60186,2,20,12,72,566,1733,125
"1630","VT",2003,619343,2,8.4,59208,2,20,10,81,487,1636,106
"1631","VT",2004,621233,9,7.73,63071,3,26,13,74,553,1696,95
"1632","VT",2005,622387,9,7.55,65355,1,25,12,88,512,1750,108
"1633","VT",2006,623908,9,7.69,64897,2,28,18,97,552,1740,99
"1634","VT",2007,621254,2,9.82,57534,2,21,13,94,515,1747,105
"1635","VT",2008,621270,2,8.85,59283,3,21,15,98,566,1900,94
"1636","VT",2009,621760,2,9.33,61381,1,21,18,94,558,1784,72
"1637","VT",2010,625909,9,10.7,64551,1,23,12,95,535,1657,70
"1638","VT",2011,626592,2,11.33,58029,2,23,16,107,613,1711,84
"1639","VT",2012,625953,2,11.02,60901,1,21,18,102,668,1760,74
"1640","VT",2013,626855,8,8.61,70735,2,22,12,88,535,1626,54
"1641","VT",2014,626767,9,9.09,64455,2,19,11,71,334,1177,39
"1642","VT",2015,626088,9,10.38,63058,2,24,17,77,325,1092,31
"1643","VT",2016,623354,9,9.63,63660,2,27,13,94,302,1225,30
"1644","VT",2017,624525,9,10.09,65360,3,41,16,114,311,1148,36
"1645","VT",2018,626299,8,9.58,70066,2,46,11,113,234,1008,40
"1646","WA",1984,4349000,2,11.01,57748,5,50,121,231,1702,3746,247
"1647","WA",1985,4409000,3,11.93,53562,5,55,132,233,1811,4003,289
"1648","WA",1986,4463000,2,12.61,58960,5,53,135,244,1861,4267,315
"1649","WA",1987,4538000,2,9.92,57928,6,52,141,240,1905,4278,395
"1650","WA",1988,4619000,9,8.7,66157,6,57,146,258,1856,4358,433
"1651","WA",1989,4761000,9,9.56,62668,4,62,140,266,1545,4119,458
"1652","WA",1990,4866692,2,8.92,60005,5,64,130,303,1263,4011,447
"1653","WA",1991,5018000,2,9.45,61249,4,70,146,303,1235,4102,445
"1654","WA",1992,5136000,2,11.18,59639,5,72,140,318,1122,4045,472
"1655","WA",1993,5255000,2,12.06,61184,5,64,137,308,1067,3914,456
"1656","WA",1994,5343000,3,11.49,56366,6,60,140,306,1044,3972,501
"1657","WA",1995,5431000,2,12.47,58380,5,59,133,287,1091,4140,554
"1658","WA",1996,5533000,2,12.04,58637,5,51,119,256,1058,3899,522
"1659","WA",1997,5610000,8,9.43,69738,4,51,120,265,1106,3811,568
"1660","WA",1998,5689000,6,9,73220,4,48,116,261,1063,3758,619
"1661","WA",1999,5756361,8,9.47,68749,3,47,101,226,949,3341,587
"1662","WA",2000,5894121,9,10.76,62182,3,46,99,221,907,3235,594
"1663","WA",2001,5993390,2,10.58,60411,3,43,99,209,885,3256,652
"1664","WA",2002,6067060,9,10.83,63243,3,45,96,202,906,3190,667
"1665","WA",2003,6131298,9,12.49,65020,3,47,93,204,950,3142,663
"1666","WA",2004,6207046,8,11.28,66527,3,46,95,200,977,3173,697
"1667","WA",2005,6291899,9,10.11,65280,3,45,92,206,959,3147,783
"1668","WA",2006,6395798,8,7.85,68321,3,43,100,202,920,2864,726
"1669","WA",2007,6468424,8,10.22,70512,3,41,94,199,817,2640,589
"1670","WA",2008,6549224,9,10.38,66210,3,41,98,193,811,2550,445
"1671","WA",2009,6664195,8,11.72,70853,3,39,101,194,796,2527,356
"1672","WA",2010,6742950,9,11.55,64822,2,38,88,185,819,2499,382
"1673","WA",2011,6823267,9,12.52,63610,2,34,82,176,829,2386,364
