state,population,year,poverty rate,percent
WV,1848751,2014,376000,20.34
WV,1841053,2015,261000,14.18
WV,1828637,2016,326000,17.83
WV,1817048,2017,311000,17.12
WV,1805832,2018,279000,15.45
WY,468954,1980,49000,10.45
WY,492000,1981,43000,8.74
WY,502000,1982,58000,11.55
WY,514000,1983,61000,11.87
WY,511000,1984,53000,10.37
WY,509000,1985,61000,11.98
WY,507000,1986,73000,14.4
WY,490000,1987,49000,10
WY,471000,1988,43000,9.13
WY,475000,1989,50000,10.53
WY,453588,1990,51000,11.24
WY,460000,1991,47000,10.22
WY,466000,1992,49000,10.52
WY,470000,1993,64000,13.62
WY,476000,1994,45000,9.45
WY,480000,1995,59000,12.29
WY,481000,1996,58000,12.06
WY,480000,1997,66000,13.75
WY,481000,1998,51000,10.6
WY,479602,1999,56000,11.68
WY,493782,2000,52000,10.53
WY,493754,2001,42000,8.51
WY,498830,2002,44000,8.82
WY,502111,2003,48000,9.56
WY,505887,2004,50000,9.88
WY,508798,2005,54000,10.61
WY,515004,2006,51000,9.9
WY,522830,2007,56000,10.71
WY,532668,2008,54000,10.14
WY,544270,2009,50000,9.19
WY,564554,2010,53000,9.39
WY,567356,2011,60000,10.58
WY,576626,2012,56000,9.71
WY,583223,2013,68000,11.66
WY,584304,2014,55000,9.41
WY,586555,2015,56000,9.55
WY,584910,2016,62000,10.6
WY,578934,2017,70000,12.09
WY,577737,2018,53000,9.17
