"","state","year","population","percent","median.income","homicide","rape","robbery","aggravated_assault","burglary","larceny","vehicle_theft","homicide_class"
"606","KY",1994,3827000,18.55,44704,6.38,35.28,93.94,308.39,750.41,1919.23,223.6,"HIGH"
"607","KY",1995,3860000,14.82,48929,7.15,31.89,103.65,222.05,735.47,1992.38,259.1,"HIGH"
"608","KY",1996,3884000,16.94,51822,5.87,31.67,93.8,189.16,688.36,1896.32,261.1,"HIGH"
"609","KY",1997,3908000,15.94,52351,5.83,33.37,90.74,187,681.63,1880.42,248.1,"HIGH"
"610","KY",1998,3936000,13.24,55975,6.02,28.13,88.11,205.72,711.33,1828.53,247.8,"LOW"
"611","KY",1999,3960825,11.79,51007,5.13,28.98,78.37,195.84,635.73,1785.46,223.9,"LOW"
"612","KY",2000,4041769,12.42,53028,4.78,26.99,80.56,182.17,626.16,1809.63,229.5,"LOW"
"613","KY",2001,4068816,12.36,54648,4.45,25.83,80.34,147.68,662.7,1755.99,219.8,"LOW"
"614","KY",2002,4089822,13.96,51456,4.67,26.58,76.56,163.63,657.51,1769.71,227.9,"LOW"
"615","KY",2003,4118189,14.3,50551,4.4,27.29,78.29,138.48,632.17,1677.51,200.4,"LOW"
"616","KY",2004,4141835,17.46,47454,5.7,29.89,78.9,130.62,625.37,1702.99,211.8,"HIGH"
"617","KY",2005,4172608,14.36,47303,4.55,34.06,88.43,139.79,634.09,1686.09,211,"LOW"
"618","KY",2006,4206074,16.4,49296,4.11,31.19,91.53,143.27,662.54,1716.49,222.6,"HIGH"
"619","KY",2007,4241474,15.4,47897,4.86,32.18,95.91,157.73,655.9,1685.48,204.6,"HIGH"
"620","KY",2008,4269245,16.96,48108,4.71,34.13,95.57,162.84,692.3,1810.13,179.4,"HIGH"
"621","KY",2009,4314113,16.85,50054,4.27,35.49,84.42,130.8,692.61,1690.68,141.3,"HIGH"
"622","KY",2010,4347223,17.34,47442,4.32,33.08,86.22,120.31,700.29,1713.46,143.5,"HIGH"
"623","KY",2011,4366814,15.78,44595,3.46,34.33,84.84,117.02,749.97,1822.52,153.5,"HIGH"
"624","KY",2012,4379730,17.72,45018,4.59,29.96,80.99,109.41,682.17,1739.81,153.5,"HIGH"
"625","KY",2013,4399583,19.8,48456,3.91,37.41,73.8,95.8,598.49,1637.61,137.9,"HIGH"
"626","KY",2014,4412617,19.51,45427,3.72,35.26,75.76,100.44,530.89,1588.81,143.2,"HIGH"
"627","KY",2015,4424611,19.23,44926,4.95,37.16,74.9,106.45,509.11,1517.49,178,"HIGH"
"628","KY",2016,4436113,15.04,47474,5.97,39.4,75.99,114.24,471.85,1506.57,224.3,"HIGH"
"629","KY",2017,4453874,14.21,52600,5.95,40.8,66.62,117.72,461.06,1459.54,232.6,"HIGH"
"630","KY",2018,4468402,15.58,54555,5.46,38.2,54.99,113.22,384.7,1348.22,229.6,"HIGH"
"631","LA",1984,4462000,19.9,43741,12.89,41.77,190.52,432.79,1226.15,2898.88,307.5,"HIGH"
"632","LA",1985,4481000,17.43,47266,10.87,39.77,190.27,453.31,1323.95,3163.11,382.3,"HIGH"
"633","LA",1986,4501000,21.17,45819,12.77,40.12,223.75,481.58,1460.81,3417.42,441.6,"HIGH"
"634","LA",1987,4461000,24.01,45269,11.12,35.87,179.04,467,1444.54,3323.18,412.5,"HIGH"
"635","LA",1988,4420000,21.9,41947,11.58,38.51,209,458.35,1444.41,3147.99,450.9,"HIGH"
"636","LA",1989,4382000,21.68,44825,14.9,38.22,237.27,491.37,1464.72,3473.51,521.3,"HIGH"
"637","LA",1990,4219973,22.56,41866,17.16,42.2,269.84,569.25,1437.85,3548.65,601.7,"HIGH"
"638","LA",1991,4252000,18.7,45615,16.93,40.87,278.93,614.3,1411.5,3488.57,573.4,"HIGH"
"639","LA",1992,4287000,24.33,44754,17.42,42.29,271.43,653.44,1366.32,3567.48,628.1,"HIGH"
"640","LA",1993,4295000,26.05,45152,20.35,42.31,283.63,715.41,1368.29,3802.89,613.7,"HIGH"
"641","LA",1994,4315000,25.89,43159,19.84,44.57,267.21,650.29,1278.98,3802.57,607.6,"HIGH"
"642","LA",1995,4342000,19.55,45875,17.04,42.72,268.59,679.04,1231.71,3838.48,598.4,"HIGH"
"643","LA",1996,4351000,20.06,48383,17.51,41.48,276.63,593.5,1295.77,3982.33,631.6,"HIGH"
"644","LA",1997,4352000,15.88,52051,15.67,41.34,239.13,559.74,1239.32,3748.02,606,"HIGH"
"645","LA",1998,4369000,18.79,49000,12.82,36.83,198.01,531.86,1172.12,3605.1,541.6,"HIGH"
"646","LA",1999,4372035,18.82,49368,10.7,33.12,173.63,515.23,1092.74,3425.16,496.2,"HIGH"
"647","LA",2000,4468976,16.78,44917,12.53,33.5,168.54,466.57,1035.79,3229.93,475.9,"HIGH"
"648","LA",2001,4470368,15.86,47376,11.21,31.38,175.91,467.75,1039.09,3121.78,485.1,"HIGH"
"649","LA",2002,4476192,17.36,47601,13.25,34.16,159.13,456.75,1013.14,2978.02,451,"HIGH"
"650","LA",2003,4493665,16.69,45858,13,35.63,155.95,432.36,991.89,2881.19,437.4,"HIGH"
"651","LA",2004,4506685,16.51,48546,12.74,35.86,145.65,445.78,1006.48,2975.14,437.4,"HIGH"
"652","LA",2005,4507331,16.6,47995,9.98,31.53,118.41,436.64,873.73,2503.48,319,"HIGH"
"653","LA",2006,4287768,16.63,45555,12.94,37.01,138.25,532.98,1089.21,2626.19,365.4,"HIGH"
"654","LA",2007,4293204,15.68,50156,14.56,33.24,147.12,545.54,1093.17,2755.31,356.2,"HIGH"
"655","LA",2008,4410796,17.87,46255,12.33,28.34,141.49,489.21,1032.1,2541.29,307.5,"HIGH"
"656","LA",2009,4492076,14.16,53303,11.78,30.08,136.91,464.11,1044.68,2540.07,258,"HIGH"
"657","LA",2010,4545343,20.88,45359,11,27.06,116.54,400.72,999.64,2425.78,219.3,"HIGH"
"658","LA",2011,4574766,20.7,45493,11.06,27.59,114.43,401.55,1010.81,2473.88,199.2,"HIGH"
"659","LA",2012,4602134,20.51,42826,10.63,25.1,118.6,341.95,913.42,2450.25,171.1,"HIGH"
"660","LA",2013,4629284,18.64,50125,10.67,38.08,119.65,352.78,890.29,2490.67,198,"HIGH"
"661","LA",2014,4648990,22.56,45024,10.24,29.73,123.15,352.76,829.02,2436.03,212.7,"HIGH"
"662","LA",2015,4668960,18.29,48673,10.54,37.12,119.11,373.02,759.42,2409.96,208.4,"HIGH"
"663","LA",2016,4686157,19.7,44154,11.84,38.82,118.97,395.38,740.24,2336.5,220.4,"HIGH"
"664","LA",2017,4670818,20.77,44973,12.33,39.61,115.29,389.12,730.81,2398.77,237.5,"HIGH"
"665","LA",2018,4659978,18.41,49973,11.37,44.74,98.03,383.39,668.07,2360.38,247.6,"HIGH"
"666","MA",1984,5798000,8.95,62231,3.64,28.06,174.58,317.39,1099.62,2125.11,840,"LOW"
"667","MA",1985,5822000,9.34,62951,3.47,29.78,188.49,316.45,1120.42,2234.42,864.8,"LOW"
"668","MA",1986,5832000,9.22,66544,3.57,29.68,192.71,330.9,1070.9,2189.09,906.5,"LOW"
"669","MA",1987,5855000,8.15,68364,2.95,31.9,177.27,352.52,1059.88,2185.12,924.2,"LOW"
"670","MA",1988,5871000,8.47,67970,3.54,31.95,176.32,407.77,1061.27,2417.53,892.5,"LOW"
"671","MA",1989,5913000,8.68,70756,4.3,31.81,202.6,436.28,1065.52,2484.78,910.7,"LOW"
"672","MA",1990,6016425,10.4,67732,4.04,33.74,217.11,481.43,1112.65,2525.3,923.6,"LOW"
"673","MA",1991,5996000,10.62,64393,4.15,32.12,194.61,505.24,1167.06,2500.5,918.7,"LOW"
"674","MA",1992,5998000,10,63966,3.57,36.11,184.38,554.98,1072.32,2360.95,790.5,"LOW"
"675","MA",1993,6012000,10.66,63602,3.88,33.37,175.7,592,1001.66,2271.26,816.1,"LOW"
"676","MA",1994,6041000,9.68,68077,3.54,30.21,168.18,505.71,881.01,2151.33,701,"LOW"
"677","MA",1995,6074000,10.95,63314,3.57,28.96,150.43,504.21,817.73,2232.24,604.5,"LOW"
"678","MA",1996,6092000,10.21,63143,2.58,29.01,127.68,482.93,704.14,1962.61,528.2,"LOW"
"679","MA",1997,6118000,11.96,65764,1.95,26.92,109.12,506.19,661.83,1887.77,481.4,"LOW"
"680","MA",1998,6147000,8.59,65383,2.02,27.44,96.6,495.25,607.34,1777.7,429.5,"LOW"
"681","MA",1999,6175169,11.95,66529,1.98,26.93,96.05,426.01,533.82,1762.62,415,"LOW"
"682","MA",2000,6349097,9.73,68364,1.97,26.71,91.59,355.86,481.96,1660.47,407.6,"LOW"
"683","MA",2001,6401164,8.76,74291,2.23,28.99,101.17,345.41,506.63,1668.77,434.7,"LOW"
"684","MA",2002,6421800,10.09,69782,2.69,27.67,111.64,342.86,517.66,1680.56,414,"LOW"
"685","MA",2003,6420357,10.16,69738,2.18,28.78,124.77,317.4,544.56,1620.92,397.3,"LOW"
"686","MA",2004,6407382,9.27,69321,2.67,28,116.8,312.76,538.39,1585.75,344.1,"LOW"
"687","MA",2005,6433367,9.96,72203,2.77,27.22,121.82,308.98,539.81,1524.54,294,"LOW"
"688","MA",2006,6437193,11.78,69078,2.92,27.51,125.52,344.53,547.49,1564.73,279.2,"LOW"
"689","MA",2007,6449755,10.96,70977,2.9,25.47,108.86,304.45,554.55,1611.3,233.4,"LOW"
"690","MA",2008,6497967,11.19,70523,2.55,26.95,108.91,325.38,557.88,1645.33,196.3,"LOW"
"691","MA",2009,6593587,10.87,69658,2.62,26.3,113.25,320.45,523.46,1619.74,179.9,"LOW"
"692","MA",2010,6555466,10.85,70329,3.26,27.21,105.21,333.19,578.19,1603.61,175,"LOW"
"693","MA",2011,6607003,10.41,70842,2.78,25.03,102.44,297.05,550.98,1538.43,163.2,"LOW"
"694","MA",2012,6645303,11.18,69748,1.82,24.83,98.64,281.72,521.2,1496.59,139,"LOW"
"695","MA",2013,6708874,11.69,67513,2.06,34.33,99.94,270.06,457.84,1452.36,136,"LOW"
"696","MA",2014,6755124,13.35,67049,1.97,32.6,89.96,270.56,369.36,1365.27,122.5,"LOW"
"697","MA",2015,6784240,11.53,71926,1.93,30.69,77.62,279.68,321.72,1248.13,118.6,"LOW"
"698","MA",2016,6823721,9.51,75620,1.98,31.38,78.62,268.68,281.43,1160,118.3,"LOW"
"699","MA",2017,6863246,10.55,75012,2.51,32.04,71.02,248.76,246.47,1071.99,109.1,"LOW"
"700","MA",2018,6902149,8.71,86345,1.97,34.92,60.02,241.2,200.84,966.77,95.7,"LOW"
"701","MD",1984,4349000,8.23,68577,8.14,37.71,301.15,445.25,1183.81,2841.27,397.2,"LOW"
"702","MD",1985,4392000,8.29,67256,7.92,38.71,302.19,485.77,1206.63,2870.61,461,"LOW"
"703","MD",1986,4463000,9.28,67125,8.98,43.56,304.03,476.43,1245.64,2977.91,545.2,"LOW"
"704","MD",1987,4535000,9.26,74151,9.61,39.58,290.28,428.34,1162.47,2965.49,581.8,"LOW"
"705","MD",1988,4644000,9.84,74803,9.67,37.06,301.34,458.7,1178.62,3047.14,672.1,"LOW"
"706","MD",1989,4694000,8.76,70619,11.59,37.98,332.1,473.71,1123.46,2919.54,664.2,"LOW"
"707","MD",1990,4781468,9.79,72609,11.54,45.7,363.78,497.94,1119.93,3082.88,708.7,"HIGH"
"708","MD",1991,4860000,8.89,66625,11.71,45.86,407.06,491.52,1157.57,3364.69,730.8,"LOW"
"709","MD",1992,4908000,11.88,65450,12.14,46.41,428.97,512.57,1131.21,3366.83,726.4,"HIGH"
"710","MD",1993,4965000,9.65,68536,12.73,44.01,434.68,506.36,1132.85,3292.47,683.4,"HIGH"
"711","MD",1994,5006000,10.81,65888,11.57,40.65,402.46,493.33,1043.43,3368.12,763,"HIGH"
"712","MD",1995,5042000,10.31,67363,11.82,42.25,423.13,509.66,1057.52,3532.84,717.6,"HIGH"
"713","MD",1996,5072000,10.29,70336,11.59,37.56,393.22,488.82,992.33,3426.99,711.4,"HIGH"
"714","MD",1997,5094000,8.28,73060,9.85,35.61,336.81,464.35,940.68,3263.76,602,"LOW"
"715","MD",1998,5135000,6.99,77227,9.99,33.38,298.71,454.47,922.94,3096.77,549.4,"LOW"
"716","MD",1999,5171634,7.1,78926,8.99,29.99,263.67,440.77,835.91,2848.15,492,"LOW"
"717","MD",2000,5296486,7.29,79743,8.12,29.13,256.02,493.35,744.38,2745.65,539.5,"LOW"
"718","MD",2001,5386079,7.15,76107,8.28,26.9,251.11,495.13,771.49,2709.47,594.6,"LOW"
"719","MD",2002,5450525,7.34,78953,9.41,25.14,246.16,490.14,729.56,2629.47,624.2,"LOW"
"720","MD",2003,5512310,8.56,71598,9.52,24.64,241.31,428.01,700.99,2437.67,660.4,"LOW"
"721","MD",2004,5561332,9.89,76096,9.37,23.68,229.66,437.86,659.99,2335.56,645.2,"LOW"
"722","MD",2005,5589599,9.7,77997,9.88,22.65,257.23,414.57,642.66,2298.75,610,"LOW"
"723","MD",2006,5615727,8.35,79488,9.72,20.98,256,391.95,667.04,2270.45,543.5,"LOW"
"724","MD",2007,5618344,8.74,79678,9.86,20.98,235.98,375.06,660.25,2265.93,505.4,"LOW"
"725","MD",2008,5633597,8.54,74487,8.75,20,234.36,365.13,689.59,2378.29,449.7,"LOW"
"726","MD",2009,5699478,9.53,75305,7.72,20.28,210.67,351.3,647.52,2206.71,344.2,"LOW"
"727","MD",2010,5785681,10.85,74100,7.36,21.22,191.06,326.65,634.39,2049.51,311.6,"LOW"
"728","MD",2011,5839572,9.2,77066,6.83,20.55,177.1,288.99,613.45,1968.48,275.2,"LOW"
"729","MD",2012,5884868,9.94,78711,6.34,21.02,172.87,277.03,574.41,1929.53,254.1,"LOW"
"730","MD",2013,5938737,10.29,74881,6.47,28.27,169.19,271.51,537.99,1895.2,225.9,"LOW"
"731","MD",2014,5975346,9.77,80867,6.06,27.31,160.07,254.51,470.83,1826.51,219.2,"LOW"
"732","MD",2015,5994983,9.44,78002,8.97,28.64,168.66,263.87,440.9,1713.12,223.8,"LOW"
"733","MD",2016,6024752,7.04,77183,8.9,30.32,179.51,262.93,412.17,1676.33,230.5,"LOW"
"734","MD",2017,6024891,7.75,83061,9.26,28.42,185.71,279.87,390.48,1620.89,224.4,"LOW"
"735","MD",2018,6042718,7.94,86223,8.11,32.75,160.79,267.02,312.64,1519.76,200.9,"LOW"
"736","ME",1984,1156000,13.15,47663,1.73,13.41,26.38,116.96,888.15,2319.29,161.4,"LOW"
"737","ME",1985,1164000,11.51,45793,2.41,14.35,24.4,126.37,911.25,2427.84,165.1,"LOW"
"738","ME",1986,1174000,9.8,51377,1.96,14.82,27.94,102.3,803.49,2346.51,164.2,"LOW"
"739","ME",1987,1187000,11.29,50042,2.53,15.67,25.61,108.34,770.68,2436.06,173.4,"LOW"
"740","ME",1988,1206000,13.18,54031,3.07,18.57,25.79,109.95,816.92,2398.67,204.7,"LOW"
"741","ME",1989,1222000,10.47,55335,3.19,18.74,23.98,91.24,802.78,2460.47,183.2,"LOW"
"742","ME",1990,1227928,13.19,51320,2.44,19.71,25.08,96.02,823.01,2554.87,176.6,"LOW"
"743","ME",1991,1235000,13.85,50247,1.21,21.86,22.67,86.32,902.51,2569.8,163.3,"LOW"
"744","ME",1992,1235000,13.52,52105,1.7,23.81,23.32,82.02,822.35,2426.4,144,"LOW"
"745","ME",1993,1239000,15.82,47084,1.61,26.55,21.31,76.27,719.05,2174.74,134.4,"LOW"
"746","ME",1994,1240000,9.11,50958,2.26,25.65,22.42,79.6,720.81,2278.79,143.2,"LOW"
"747","ME",1995,1241000,11.12,55573,2.01,21.35,26.91,81.14,726.43,2292.02,134.8,"LOW"
"748","ME",1996,1243000,10.86,55472,2.01,20.92,23.49,78.52,748.43,2377.88,142.9,"LOW"
"749","ME",1997,1242000,9.98,51287,2.01,20.45,20.69,77.62,663.53,2215.22,132.2,"LOW"
"750","ME",1998,1244000,10.53,55030,2.09,18.09,21.14,84.57,666.8,2126.77,121.3,"LOW"
"751","ME",1999,1253040,10.69,58754,2,19.07,19.39,71.59,601.1,2026.43,135.2,"LOW"
"752","ME",2000,1274923,10.04,54492,1.18,25.1,19.37,63.93,531.4,1875.09,103.7,"LOW"
"753","ME",2001,1284470,10.28,52054,1.48,25.38,20.55,64.31,537.03,1914.02,130.1,"LOW"
"754","ME",2002,1294894,13.13,51583,1.08,29.11,20.85,56.76,537.88,1899.07,110.4,"LOW"
"755","ME",2003,1309205,11.38,50793,1.22,27.04,22.07,58.28,502.52,1836.46,111.2,"LOW"
"756","ME",2004,1314985,11.33,55076,1.37,23.95,21.98,56.43,482.21,1832.42,99.1,"LOW"
"757","ME",2005,1318220,12.59,56615,1.44,24.73,24.5,61.83,479.66,1837.17,102,"LOW"
"758","ME",2006,1321574,10.14,56983,1.74,25.8,28.98,59.47,518.02,1926.87,101.9,"LOW"
"759","ME",2007,1317207,10.78,58146,1.52,29.76,26.5,61.04,512.07,1839.35,96.9,"LOW"
"760","ME",2008,1316456,12,55216,2.35,28.79,25.3,62.97,498.23,1875.87,89.6,"LOW"
"761","ME",2009,1318301,11.23,55730,1.97,28.45,30.27,59.17,510.43,1817.11,77.5,"LOW"
"762","ME",2010,1327379,12.36,55321,1.81,29.31,31.04,59.97,554.78,1849.28,74.5,"LOW"
"763","ME",2011,1328544,13.4,55602,1.96,29.66,27.85,63.83,592,1873.18,81.1,"LOW"
"764","ME",2012,1328501,12.8,53863,1.96,28,31.61,60.82,562.74,1876.63,74.6,"LOW"
"765","ME",2013,1328702,12.12,59338,1.81,37.25,25.21,68.26,487.69,1735.75,68.6,"LOW"
"766","ME",2014,1330256,14.28,54902,1.58,36.38,22.85,66.83,378.5,1547.9,60.1,"LOW"
"767","ME",2015,1329453,12.41,53796,1.73,34.68,23.39,70.03,353.08,1418.1,61.2,"LOW"
"768","ME",2016,1330232,12.55,53216,1.5,31.05,20.15,71.27,300.77,1287.82,58.3,"LOW"
"769","ME",2017,1335063,11.83,52923,1.72,35.2,18.65,65.02,249.95,1199.34,59.4,"LOW"
"770","ME",2018,1338404,11.43,58663,1.79,33.32,17.04,60,202.7,1097.05,58.1,"LOW"
"771","MI",1984,9075000,16.47,53012,9.69,64.79,306.69,378.93,1644.18,3285.86,865.9,"HIGH"
"772","MI",1985,9088000,14.39,54102,11.2,67.56,292.39,362.94,1527.2,3277.15,827.8,"HIGH"
"773","MI",1986,9145000,13.85,58354,11.28,67.44,301.26,423.93,1509.46,3377.74,800.4,"HIGH"
"774","MI",1987,9200000,11.9,58740,12.22,67.22,276.54,424.15,1452.2,3472.5,752,"HIGH"
"775","MI",1988,9300000,11.96,60314,10.85,69.48,241.12,420.27,1314.56,3287.02,741.1,"HIGH"
"776","MI",1989,9273000,13.24,60342,10.71,71.43,222.32,404.69,1224.84,3311.72,722.6,"HIGH"
"777","MI",1990,9295297,14.15,55941,10.45,77.56,234.01,468.37,1143.32,3347.42,713.7,"HIGH"
"778","MI",1991,9368000,13.96,57908,10.77,78.69,243.27,470.34,1186.23,3469.1,679.7,"HIGH"
"779","MI",1992,9437000,13.47,56767,9.94,80,221.49,458.64,1041.19,3173.53,625.8,"HIGH"
"780","MI",1993,9478000,15.56,56048,9.84,71.11,238.46,472.11,982.73,3063.23,615,"HIGH"
"781","MI",1994,9496000,14.18,59309,9.76,70.77,228.86,456.73,967.24,3055.73,656.1,"HIGH"
"782","MI",1995,9549000,12.29,59788,8.46,61.96,187.3,430.1,909.75,2939.7,645.5,"HIGH"
"783","MI",1996,9594000,11.13,62713,7.53,56.97,176.22,394.58,895.43,2886.27,700.5,"LOW"
"784","MI",1997,9774000,10.29,60630,7.77,51.87,152.79,377.53,825.93,2832.65,668.4,"LOW"
"785","MI",1998,9817000,11.17,64574,7.34,50.38,155.78,407.32,837.82,2629.99,594.3,"LOW"
"786","MI",1999,9863775,9.92,69680,7.05,49.16,142.98,375.74,777.96,2396.15,575.8,"LOW"
"787","MI",2000,9938444,9.73,66549,6.73,50.56,137.97,359.74,702.22,2291.94,560.7,"LOW"
"788","MI",2001,10006266,9.26,64046,6.72,52.61,129.29,365.28,719.93,2265.66,535.7,"LOW"
"789","MI",2002,10043221,11.47,59788,6.75,53.41,117.96,362.6,706.65,2134.44,495.1,"LOW"
"790","MI",2003,10082364,11.16,61618,6.07,54.25,111.62,339.35,677.58,2068.34,532.7,"LOW"
"791","MI",2004,10104206,13.04,56311,6.36,54.25,112.19,319.43,635.71,1929.77,500.6,"LOW"
"792","MI",2005,10100833,11.84,59205,6.23,51.47,132.15,363.93,698.23,1921.52,478,"LOW"
"793","MI",2006,10095643,13.1,60735,7.14,52.96,140.94,363.36,755.9,1972.96,496.2,"HIGH"
"794","MI",2007,10071822,10.68,59938,6.56,45.59,132.7,348.96,747.36,1899.25,416.9,"LOW"
"795","MI",2008,10003422,12.73,58209,5.54,45.05,132.41,331.94,747.61,1844.95,357.4,"LOW"
"796","MI",2009,9969727,13.8,53961,6.25,45.38,124.65,323.49,762.77,1791.7,294.3,"HIGH"
"797","MI",2010,9877143,15.49,53411,5.87,47.92,116.65,322.54,752.7,1718.59,277.5,"HIGH"
"798","MI",2011,9876801,14.67,54691,6.25,43.98,103.91,288.63,706.25,1586.2,252.2,"HIGH"
"799","MI",2012,9882519,13.47,54802,7.09,46.9,105.47,295.5,663.39,1604.95,253.8,"HIGH"
"800","MI",2013,9898193,14.43,61076,6.31,68.55,101.97,275.34,568.35,1513.35,243.3,"HIGH"
"801","MI",2014,9916306,14.74,55215,5.49,64.18,81.05,278.43,447.02,1382.99,213.5,"HIGH"
"802","MI",2015,9917715,12.69,57450,5.9,67.66,78.83,268.2,407.1,1331.14,189.5,"LOW"
"803","MI",2016,9933445,10.98,59740,6.16,73.17,71.71,309.85,400.04,1311.22,204,"LOW"
"804","MI",2017,9976447,12.62,59107,5.7,71.27,65.23,307.68,359.18,1247.04,196.4,"LOW"
"805","MI",2018,9995915,10.36,60449,5.51,76.93,56.58,310.34,316.64,1162.25,174.6,"LOW"
"806","MN",1984,4162000,9.15,56407,1.78,25.25,71.12,113.33,990.92,2432.48,206.6,"LOW"
"807","MN",1985,4193000,12.47,53240,2.1,29.62,85.81,138.87,1017.48,2598.47,261.9,"LOW"
"808","MN",1986,4214000,12.27,57999,2.49,31.75,102.02,148.29,1004.25,2785.26,288.1,"LOW"
"809","MN",1987,4246000,11.4,59545,2.64,33.89,102.54,146.33,1068.86,2960.1,301.4,"LOW"
"810","MN",1988,4306000,11.94,59526,2.88,31.05,94.73,161.4,909.59,2775.8,339.3,"LOW"
"811","MN",1989,4353000,10.98,59186,2.55,31.31,94.83,159.59,896.9,2818.13,379.9,"LOW"
"812","MN",1990,4375099,11.98,58796,2.67,33.99,92.73,176.7,907.2,2959.93,365.6,"LOW"
"813","MN",1991,4432000,12.73,53151,2.96,39.76,98.04,175.27,853.61,2963.22,363.4,"LOW"
"814","MN",1992,4480000,12.52,54504,3.35,41.07,109.51,184.11,889.71,3007.81,355.2,"LOW"
"815","MN",1993,4517000,11.2,57799,3.43,61.9,112.73,175.85,844.52,2871.97,342.6,"LOW"
"816","MN",1994,4567000,11.45,56553,3.22,59.67,117.58,178.56,791.7,2875.94,314.3,"LOW"
"817","MN",1995,4610000,9.26,62262,3.95,56.25,123.69,172.21,797.31,3002.47,341.5,"LOW"
"818","MN",1996,4658000,9.83,65536,3.59,49.96,115.61,169.67,762.45,2977.05,384.8,"LOW"
"819","MN",1997,4686000,9.75,66611,2.75,52.2,114.66,168.14,752.56,2942.21,381.3,"LOW"
"820","MN",1998,4725000,10.54,74000,2.56,49.9,92.51,165.21,687.53,2723.58,325.2,"LOW"
"821","MN",1999,4775508,7.41,71115,2.81,42.68,82.02,146.5,580.17,2465.41,278,"LOW"
"822","MN",2000,4919479,5.61,79328,3.07,45.53,75.48,156.7,530.87,2403.71,273,"LOW"
"823","MN",2001,4984535,7.24,74900,2.39,44.86,75.39,141.08,511.5,2498.11,301.6,"LOW"
"824","MN",2002,5024791,6.47,76454,2.23,45.24,78.35,141.42,557.91,2430.95,275.5,"LOW"
"825","MN",2003,5064172,7.42,72294,2.51,41.31,77.13,142,546.94,2294.87,271.5,"LOW"
"826","MN",2004,5096546,6.99,74765,2.22,41.66,79.86,146.08,550.33,2226.08,265.2,"LOW"
"827","MN",2005,5126739,8.04,69880,2.24,44.04,92.14,158.89,579.63,2229.57,279,"LOW"
"828","MN",2006,5167101,8.17,70178,2.44,31.84,105.3,170.89,586.52,2239.03,257,"LOW"
"829","MN",2007,5197621,9.27,70485,2.23,36.04,91.77,159.59,571.74,2229.71,243.3,"LOW"
"830","MN",2008,5220393,9.69,64215,2.11,34.58,80.05,148.63,508.74,2160.07,195.3,"LOW"
"831","MN",2009,5266214,10.94,65806,1.41,33.97,68.72,140.37,485.74,1996.88,162.3,"LOW"
"832","MN",2010,5310658,10.6,60388,1.81,33.86,63.8,136.2,459.74,1947.57,161.7,"LOW"
"833","MN",2011,5347299,9.87,64695,1.4,39.52,63.3,126.23,480.26,1914.13,152.4,"LOW"
"834","MN",2012,5379646,9.93,67709,1.84,30.45,64.6,133.97,471.74,1939.09,157.2,"LOW"
"835","MN",2013,5422060,11.97,69451,2.1,37.14,67.76,127.41,418.9,1853.8,146.9,"LOW"
"836","MN",2014,5457125,8.19,71395,1.61,36.67,67.56,123.31,380.66,1763.51,153.3,"LOW"
"837","MN",2015,5482435,7.81,72847,2.43,42.34,68.78,129.4,352.02,1727.41,145.6,"LOW"
"838","MN",2016,5525050,8.51,73477,1.83,42.52,67.51,130.04,336.32,1636.56,157.8,"LOW"
"839","MN",2017,5568155,9.32,73673,2.05,43.19,65.14,129.29,338.14,1681.02,179.6,"LOW"
"840","MN",2018,5611179,8.13,71817,1.89,43.88,52.47,122.2,288.44,1524.83,180.5,"LOW"
"841","MO",1984,5008000,14.38,47956,7.15,26.46,140.83,286.24,1115.48,2391.15,329.7,"HIGH"
"842","MO",1985,5029000,13.7,48962,8.13,29.19,147.64,318.53,1098.67,2399.09,364.8,"HIGH"
"843","MO",1986,5066000,14.25,48089,9.16,29.21,170.23,369.96,1136.12,2500.47,438.9,"HIGH"
"844","MO",1987,5103000,14.03,50296,8.29,28.87,164.14,343.33,1111.33,2625.2,426.3,"HIGH"
"845","MO",1988,5139000,12.88,47976,8.04,29.29,168.09,347.09,1140.4,2717.42,434.4,"HIGH"
"846","MO",1989,5159000,12.68,51954,7.93,30.76,195,398.88,1135.76,2835.22,523.6,"HIGH"
"847","MO",1990,5117073,13.68,51073,8.77,32.5,216.39,457.62,1065.77,2800.18,539.4,"HIGH"
"848","MO",1991,5158000,14.35,50351,10.53,34.04,251.11,467.37,1253.26,2840.89,558.5,"HIGH"
"849","MO",1992,5193000,15.31,48136,10.53,36.49,226.9,466.45,1100.08,2759.25,497.4,"HIGH"
"850","MO",1993,5234000,15.9,49219,11.27,36.19,241.77,455.2,1025.47,2777.84,547.7,"HIGH"
"851","MO",1994,5278000,15.1,50747,10.5,37.04,230.73,465.2,1052.99,2998.92,512.3,"HIGH"
"852","MO",1995,5324000,9.09,57161,8.81,32.14,204.04,418.78,932.55,3050.9,473.3,"LOW"
"853","MO",1996,5359000,9.33,54783,8.08,29.22,170.59,383.06,894.18,3151.15,447.7,"LOW"
"854","MO",1997,5402000,11.61,57204,7.89,28.23,156.05,385.25,868.2,2878.05,490.9,"LOW"
"855","MO",1998,5439000,9.76,62072,7.34,26.9,149.22,372.2,872.49,2948.39,449.8,"LOW"
"856","MO",1999,5468338,11.83,62565,6.57,26.32,130.73,336.59,776.76,2881.13,420.3,"LOW"
"857","MO",2000,5595211,9.03,65943,6.2,24.15,135.79,323.9,745.01,2851.35,441.4,"LOW"
